unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
1	Actinobacteria-Bifidobacterium	0.00199203187250996	0.00249003984063745	9.9601593625498e-4	0.00597609561752988	0.0027390438247011954	0.0017091019490350265	10
1	Actinobacteria-Collinsella	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
1	Actinobacteria-Other	0.00149402390438247	0.0015936254980079682	9.9601593625498e-4	0.00298804780876494	9.9601593625498e-4	6.964202179084673e-4	10
1	Actinobacteria-Unknown	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	0	3
1	Bacteroidetes-Alistipes	9.9601593625498e-4	0.001245019920318725	9.9601593625498e-4	0.00199203187250996	2.49003984063745e-4	4.9800796812749e-4	4
1	Bacteroidetes-Bacteroides	9.9601593625498e-4	0.0018260292164674634	9.9601593625498e-4	0.00597609561752988	9.9601593625498e-4	0.0013341103277168618	18
1	Bacteroidetes-Other	9.9601593625498e-4	0.0012805919180421171	9.9601593625498e-4	0.00199203187250996	4.9800796812749e-4	4.8600601242456825e-4	7
1	Firmicutes-Agathobacter	9.9601593625498e-4	0.001195219123505976	9.9601593625498e-4	0.00199203187250996	0	4.454318680278466e-4	5
1	Firmicutes-Blautia	9.9601593625498e-4	0.0013280212483399733	9.9601593625498e-4	0.00199203187250996	7.47011952191235e-4	5.143404178230301e-4	6
1	Firmicutes-Enterococcus	0.00697211155378486	0.018426294820717132	9.9601593625498e-4	0.0796812749003984	0.00846613545816733	0.03031392133075494	6
1	Firmicutes-Erysipelatoclostridium	0.02589641434262948	0.04747675962815405	0.00298804780876494	0.1603585657370518	0.02788844621513944	0.053191354274178045	9
1	Firmicutes-Faecalibacterium	9.9601593625498e-4	0.001707455890722823	9.9601593625498e-4	0.00298804780876494	0.00149402390438247	9.474001306885874e-4	7
1	Firmicutes-Lactobacillus	0.0149402390438247	0.04405236198064884	9.9601593625498e-4	0.20816733067729085	0.046314741035856574	0.06238763336494586	35
1	Firmicutes-Other	0.00199203187250996	0.010091985001171765	9.9601593625498e-4	0.1394422310756972	0.0059760956175298795	0.021075690524859306	136
1	Firmicutes-Streptococcus	0.005478087649402391	0.010676045816733063	9.9601593625498e-4	0.04183266932270916	0.013197211155378486	0.011823608932346422	32
1	Firmicutes-Unknown	0.00149402390438247	0.004873363688104725	9.9601593625498e-4	0.0298804780876494	0.003237051792828685	0.007143076019879184	28
1	Firmicutes-Veillonella	0.03685258964143426	0.05627490039840637	0.00199203187250996	0.17330677290836655	0.06748007968127491	0.04761872413664287	42
1	Other-Cetobacterium	0.2360557768924303	0.2360557768924303	0.2360557768924303	0.2360557768924303	0	NA	1
1	Other-Cloacibacillus	0.04780876494023904	0.04780876494023904	0.04780876494023904	0.04780876494023904	0	NA	1
1	Other-Fusobacterium	0.01693227091633466	0.05441392325435101	9.9601593625498e-4	0.2400398406374502	0.08515936254980079	0.07427591093208172	19
1	Other-Other	0.0049800796812749	0.022998913437160446	9.9601593625498e-4	0.10756972111553784	0.03237051792828685	0.032597136704732084	11
1	Other-Unknown	9.9601593625498e-4	0.0016600265604249668	9.9601593625498e-4	0.00298804780876494	9.9601593625498e-4	0.0011501001378279396	3
1	Proteobacteria-Bilophila	0.00946215139442231	0.014110225763612216	0.00199203187250996	0.03087649402390438	0.02091633466135458	0.012900873745556228	6
1	Proteobacteria-Enterobacter	0.02589641434262948	0.07890659583886676	0.00398406374501992	0.4900398406374502	0.028884462151394424	0.156019448864422	9
1	Proteobacteria-Escherichia-Shigella	0.08565737051792828	0.1647410358565737	9.9601593625498e-4	0.8944223107569721	0.23406374501992033	0.2174657126505327	35
1	Proteobacteria-Haemophilus	0.04432270916334661	0.08690239043824702	0.01693227091633466	0.24203187250996017	0.08989043824701196	0.10581663494111357	4
1	Proteobacteria-Morganella	0.0049800796812749	0.007193448428508188	0.00199203187250996	0.03087649402390438	0.0049800796812748994	0.0091256176141333	9
1	Proteobacteria-Other	0.00298804780876494	0.04150066401062418	9.9601593625498e-4	0.4043824701195219	0.0199203187250996	0.09883095378643857	33
1	Proteobacteria-Parasutterella	0.00846613545816733	0.03117529880478087	9.9601593625498e-4	0.13545816733067728	0.020667330677290832	0.04869975871727523	10
1	Proteobacteria-Proteus	0.005478087649402391	0.054354012521343184	9.9601593625498e-4	0.47410358565737054	0.019173306772908363	0.12666536876244106	14
1	Proteobacteria-Sutterella	0.00796812749003984	0.010557768924302787	9.9601593625498e-4	0.02788844621513944	0.0059760956175298795	0.010365267522508121	5
1	Proteobacteria-Unknown	0.6045816733067729	0.48759960159362553	9.9601593625498e-4	0.9392430278884464	0.6683266932270916	0.33655515027607635	60
1	Verrucomicrobia-Akkermansia	0.029880478087649404	0.04814077025232404	9.9601593625498e-4	0.13745019920318724	0.08092629482071713	0.05740946921776277	6
10	Actinobacteria-Bifidobacterium	0.01195219123505976	0.017141958481862025	9.9601593625498e-4	0.06274900398406374	0.02241035856573705	0.01737748581014668	19
10	Actinobacteria-Collinsella	0.01344621513944223	0.019875045273451644	9.9601593625498e-4	0.0547808764940239	0.01593625498007968	0.01553844837049834	22
10	Actinobacteria-Eggerthella	0.00298804780876494	0.006075697211155378	9.9601593625498e-4	0.02290836653386454	0.007221115537848605	0.007158545761518797	10
10	Actinobacteria-Other	0.00199203187250996	0.003889205084424209	9.9601593625498e-4	0.02589641434262948	0.0027390438247011954	0.005503138470692666	42
10	Actinobacteria-Unknown	0.00199203187250996	0.001707455890722823	9.9601593625498e-4	0.00298804780876494	9.9601593625498e-4	7.529172769108112e-4	7
10	Bacteroidetes-Alistipes	0.049800796812749	0.05971765113459206	9.9601593625498e-4	0.18625498007968128	0.08416334661354581	0.05335934933492642	23
10	Bacteroidetes-Bacteroides	0.16633466135458166	0.15223720502604965	0.00199203187250996	0.3097609561752988	0.11578685258964144	0.08376284031632306	26
10	Bacteroidetes-Other	0.01294820717131474	0.020872067286409914	9.9601593625498e-4	0.10059760956175298	0.02191235059760956	0.025332145740488556	45
10	Bacteroidetes-Parabacteroides	0.02091633466135458	0.05629655291875975	9.9601593625498e-4	0.32669322709163345	0.059262948207171304	0.07831985583448013	23
