Model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
LongMENoIntX_model2	15	187.8187538763074	250.1734386600907	-78.9093769381537	157.8187538763074	NA	NA	NA
LongMENeighbor_model2	26	175.01391469375258	283.095368318977	-61.50695734687629	123.01391469375258	34.804839182554815	11	2.6684925563503614e-4
