terms	Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	0.20924797847489027	0.03835474859553758	447.999999987559	5.455595099357148	8.089285179660865e-8
day_relative_to_fmt2	0.00970519467060638	0.0012314729551615195	447.9999999881358	7.880964522954912	2.4903430337325182e-14
unNeighborClusters2	0.01825724277099047	0.05617128041408162	447.9999999872925	0.32502806837234827	0.7453115565739148
unNeighborClusters3	0.03632237056392499	0.060176634599114084	447.99999998881657	0.6035959107035163	0.546417815965049
unNeighborClusters4	-0.012881845097308471	0.08939629205083309	447.99999998663617	-0.14409820364790427	0.8854877200503336
unNeighborClusters5	0.2860052690804445	0.07436432394651864	447.99999998737667	3.846001064786575	1.3746360481509175e-4
unNeighborClusters6	0.13813287527891435	0.1073852037582306	447.9999999871486	1.2863306158072738	0.19899206114805024
unNeighborClusters7	0.07315592148068159	0.07624582446524987	447.99999998688577	0.959474462946144	0.3378373030654911
unNeighborClusters8	0.1292250139380293	0.06728300058752808	447.99999998824654	1.9206190688526323	0.05541417980401955
unNeighborClusters9	0.07788225831676537	0.08277715009005332	447.99999998993	0.9408666308520794	0.3472802437664664
unNeighborClusters10	0.46630430206907175	0.06879234938225025	447.999999990993	6.7784325765357165	3.842969672071063e-11
unNeighborClusters11	0.19314678934918184	0.12079818321350416	447.99999998942576	1.5989213099985575	0.11054307371833408
unNeighborClustersunClustered	0.07432858400995333	0.05521936651164524	447.99999998685837	1.3460600638052982	0.17896387137994807
day_relative_to_fmt2:unNeighborClusters2	7.082085211444674e-4	0.001812650601871494	447.999999987251	0.3907032720002788	0.6962023011668268
day_relative_to_fmt2:unNeighborClusters3	-0.0013951919556680979	0.0018332937949802556	447.9999999863897	-0.7610302066631519	0.44703940432104283
day_relative_to_fmt2:unNeighborClusters4	-0.0017866388602157544	0.0026697433979983283	447.9999999873064	-0.6692174467236469	0.5037014978098191
day_relative_to_fmt2:unNeighborClusters5	-0.0029970418650979037	0.0025005549930222303	447.99999998643375	-1.1985506711354537	0.2313363319539156
day_relative_to_fmt2:unNeighborClusters6	-0.0013728015348369342	0.002774486085499542	447.9999999914061	-0.4947948890469073	0.6209874743471353
day_relative_to_fmt2:unNeighborClusters7	-0.003360707023547981	0.0024857123864278617	447.9999999860629	-1.3520096057362236	0.17705438407500493
day_relative_to_fmt2:unNeighborClusters8	-7.060602136845027e-4	0.0026251531310277974	447.9999999880851	-0.2689596295695203	0.7880845674885916
day_relative_to_fmt2:unNeighborClusters9	-0.0016091060750842907	0.002504804240512208	447.9999999888128	-0.6424079171772897	0.520936963870276
day_relative_to_fmt2:unNeighborClusters10	-0.013476561502786508	0.0025611387992428517	447.9999999891063	-5.261941096972401	2.2143948716681125e-7
day_relative_to_fmt2:unNeighborClusters11	-0.0027745082991336677	0.003395974594548411	447.9999999887108	-0.8169991329109503	0.41436316924925454
day_relative_to_fmt2:unNeighborClustersunClustered	-0.0010018141519472356	0.0017769902536584014	447.99999998841224	-0.5637702007001658	0.5731926251702887
