variable	Df	SumOfSqs	R2	F	Pr(>F)
experiment_title	7	6.07328131337934	0.021905941297668482	2.2929305657009027	0.001
target_subfragment	0	-9.947598300641403e-14	-3.588035745134707e-16	-Inf	NA
unNeighborClusters	11	125.38132217140326	0.45224249324004034	30.12351909622501	0.001
Residual	281	106.32631785640062	0.38351229873518466	NA	NA
Total	304	277.2435674346365	1	NA	NA
