Model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
LongMENull_model	4	203.80051715411216	220.42843309645437	-97.90025857705608	195.80051715411216	NA	NA	NA
LongMENoIntX_model2	15	187.8187538763074	250.1734386600907	-78.9093769381537	157.8187538763074	37.98176327780476	11	7.879273126527557e-5
