unNeighborClusters	medianFaith	meanFaith	minFaith	maxFaith	IQRFaith	sdFaith	medianEven	meanEven	minEven	maxEven	IQREven	sdEven	medianShan	meanShan	minShan	maxShan	IQRShan	sdShan
1	8.519157727253901	9.033311230708913	3.886978395339014	16.92818814925126	4.314327787764725	3.0978023098926646	0.579231306413595	0.5607485086284246	0.1295393184220574	0.9574244627682572	0.21181833924903054	0.17574975907621096	2.5601719248909727	2.6800213229554775	0.4932021615942075	5.945082552671845	1.695229174137061	1.189718878419805
2	10.69715124257262	11.28329015637996	5.872773907446801	16.9975973624415	3.7653362852996057	2.834288809611303	0.7693337699790491	0.758751522612652	0.5342320466427001	0.9607729702527804	0.11623436308973656	0.08746364146231025	4.328044664306629	4.164110478410967	2.646690434367694	6.038844559049698	0.9105466802671875	0.77884028514751
3	13.59288206172929	14.687750790427287	7.963942525451898	35.3063838231039	4.332516046157771	5.366033035144198	0.7963292758367013	0.7810865433801867	0.5695202431809512	0.9489655500591968	0.10526018597042319	0.08843290114579229	4.777975655020208	4.549347408042724	2.644770106497867	5.950845238107464	1.184357402412063	0.8408167975323548
4	8.569204326145723	9.854788677893294	3.982553170267749	19.21250021165329	6.540090644215973	4.3657719208612535	0.42679254640528863	0.4680593671556691	0.04801431621853142	0.8822461362830076	0.3411657048706483	0.24667186689907153	1.8603089238362849	2.3117752653447243	0.12411520692267136	5.561486209054456	2.069715501249134	1.5763383957862847
5	17.64178665640668	18.555160499533557	11.2379859481182	30.47763056163997	6.735807655854025	5.2440087472159576	0.8485757829064512	0.8100421193970947	0.5596660901789051	0.969473306016128	0.20467949403306263	0.1254182429231838	5.155673211327537	4.944174491058979	2.823176334102807	6.839907987622857	1.7448490391972884	1.2491485056181213
6	16.170528696223155	15.399451191475515	6.795041856678496	24.83265184132445	9.882907641211093	5.842496041195283	0.6357609690476025	0.6389733334969939	0.3950253718683765	0.7530372272375988	0.15802619868788437	0.10158641654951966	3.087863777826982	3.273797425157233	1.9570332398195145	4.9971813111375045	1.2810298245362666	0.8653000776916567
7	13.66426925309562	13.937205249082544	7.576759759841261	21.65779871405995	6.859115629298319	4.4208334503886215	0.6822237108038625	0.6743101409239961	0.481722995060659	0.7899538759411396	0.11479378190864897	0.09542053274095667	3.987103683851086	3.7639886788176486	2.408614975303295	4.931701061111955	1.779512521907039	0.9308380118267333
8	14.9254119482837	16.369931654221432	5.921721966821631	33.54072015929977	7.316111269812961	6.639921522275409	0.7427065866172667	0.7257749102442215	0.3988368981657641	0.8203166372821322	0.0974926352927048	0.09482956180150444	4.231772464166635	4.108405018032261	1.8521411982576352	5.461015153525936	0.7535401323299453	0.8881939972455486
9	14.07070059402946	14.831430856901354	10.52499674914324	25.19707510253428	5.664573128088648	4.1616136844759675	0.7147711107904211	0.6865221795884255	0.4606851408729344	0.808593193355449	0.1742007268865461	0.11585505106830982	4.39446340739742	4.077934138730014	2.430100030503077	5.257108898346647	1.1937146512034094	0.8712475791732199
10	30.17222676087464	31.783300413953622	23.42009473519124	47.36326164108488	9.45541698809043	6.631001366199985	0.8614647724087682	0.8622023957766882	0.7755283688614029	0.9163348024128692	0.049197145897836636	0.03418221320779562	6.300153243035171	6.474804546296725	5.59113560902857	7.470813181440433	0.6327163673824199	0.46568359324563774
11	109.2947941044937	106.89956509517809	91.11873034101056	120.111425475892	25.133233727494428	13.648992039626023	0.8883776100983235	0.8730266463183237	0.8332972838942632	0.8943424782869231	0.028296124614366258	0.025852775535363127	7.809861661320236	7.625788925469141	7.099389749261348	8.008118119299022	0.640352361246145	0.4071179683672878
unClustered	13.956637337056069	15.060504172804213	7.742126352680046	30.23830610319303	5.868066089169927	6.023332330262925	0.7836215138981484	0.7633969886162804	0.04217268661664172	0.9675934701659976	0.10765650977898644	0.1476221322598265	4.687663544116977	4.530499655165301	0.0668421268420421	6.560499670351274	1.1739445057793105	1.162936806176385
