Model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
LongMEFaithNoIntX_model2	15	3560.684493268557	3623.0391780523405	-1765.3422466342786	3530.684493268557	NA	NA	NA
LongMEFaithIntX_model2	26	3388.9273049964822	3497.008758621707	-1668.4636524982411	3336.9273049964822	193.75718827207493	11	1.464745469585971e-35
