Model	npar	AIC	BIC	logLik	-2*log(L)	Chisq	Df	Pr(>Chisq)
FaithNull_model	4	3736.3464763037036	3752.9743922460457	-1864.1732381518518	3728.3464763037036	NA	NA	NA
LongMEFaithNoIntX_model2	15	3560.684493268557	3623.0391780523405	-1765.3422466342786	3530.684493268557	197.66198303514648	11	2.2721241560247026e-36
